5 67.17 13  24.23 0.07019860591948349
5 67.17 14  24.26 0.08565786416284368
5 67.17 15  24.26 0.017218897798218193
5 67.17 16  24.27 0.042889196720288555
5 67.17 17  24.28 0.09884306523048329
5 67.17 18  26.17 0.01160957942253261
5 67.17 19  26.21 0.009353453541181462
5 67.17 20  26.24 0.0022589185190125343
5 67.17 21  26.25 0.002459370388803609
5 67.17 22  26.26 0.0013553213465891428
5 67.17 23  26.89 0.09918630806972792
5 67.17 24  32.85 0.08687746313057801
5 67.17 25  32.88 0.03491796379469474
5 67.17 26  32.93 0.11312630333489157
5 67.17 27  61.68 4.240978810973909e-5
5 67.17 28  61.68 2.9850276058360952e-5
5 67.17 29  61.71 1.4754015777413074e-5
5 67.17 30  61.71 5.151051002031529e-5
5 67.17 31  61.72 7.06266807363035e-5
5 67.17 32  61.74 3.4994346847629954e-5
5 67.17 33  61.75 2.510220955944235e-5
5 67.17 34  65.98 0.011206314922362001
5 67.17 35  66.1 0.005016115946242935
5 67.17 36  66.11 0.0013502076458234557
5 67.17 37  66.15 0.0016673013400781
5 67.17 38  66.16 0.0011352705800931507
5 67.17 39  67.44 0.0002257867326086514
5 67.17 40  67.52 0.00012585623217655281
5 67.17 41  67.53 0.00031319127745313663
5 67.17 42  70.34 0.00021236175792227528
5 67.17 43  70.36 0.0005428824820869201
5 67.17 44  70.37 0.0017813213921143152
5 67.17 45  70.4 0.0013082753514523085
5 67.17 46  70.41 0.0002959698468361967
5 67.17 47  72.24 0.011252464708957667
5 67.17 48  76.8 0.019582610648215294
5 67.17 49  76.82 0.02287402311771868
5 67.17 50  76.85 0.04136492823930909
5 67.17 51  76.86 0.03534156079263649
5 67.17 52  76.88 0.021393633426791455
5 67.17 53  86.22 0.00014922664497275866
5 67.17 54  86.26 5.192763059812043e-5
5 67.17 55  86.27 8.478839687875049e-5
5 67.17 56  86.28 0.0001222586681527209
5 67.17 57  86.31 3.109174182627252e-5
5 67.17 58  86.32 9.796814632881599e-5
5 67.17 59  86.35 0.00013802825681790107
5 67.17 60  91.78 8.245696446906213e-5
5 67.17 61  91.81 0.0002644544170545534
5 67.17 62  91.85 0.00032397379981617176
5 67.17 63  93.31 0.005001284721807058
5 67.17 64  93.34 0.002593804906753623
5 67.17 65  93.34 0.008722028453382167
5 67.17 66  93.35 0.00442159021694472
5 67.17 67  93.37 0.0025061506364456674
5 67.17 68  95.27 1.8290282535121908e-5
5 67.17 69  95.28 4.708570729400305e-6
5 67.17 70  95.3 4.698060937084796e-6
5 67.17 71  95.34 1.1865463474511988e-5
5 67.17 72  95.35 2.0923811802106687e-5
5 67.17 73  95.37 2.499965561685144e-5
5 67.17 74  95.39 2.8433119668727625e-5
