4 32.89 34  100.54 0.05136817215083922
4 32.89 35  100.54 0.02792621176262239
4 32.89 36  100.54 0.03564514983257823
4 32.89 37  100.54 0.037747964115214
4 32.89 38  100.54 0.018625890136306403
4 32.89 39  101.89 1.1995329995480217e-28
4 32.89 40  101.89 2.191111397195568e-27
4 32.89 41  101.89 1.8799006769576419e-28
4 32.89 42  104.79 2.984783893465281e-28
4 32.89 43  104.79 7.90666105260814e-29
4 32.89 44  104.79 2.4829703795766963e-29
4 32.89 45  104.79 6.543988173167318e-30
4 32.89 46  104.79 2.6277291764687027e-29
4 32.89 47  106.67 0.0009369727834355433
4 32.89 48  111.27 0.009556145187224559
4 32.89 49  111.27 0.00494246350909196
4 32.89 50  111.27 0.011659841988967478
4 32.89 51  111.27 0.0036934639763155325
4 32.89 52  111.27 0.014378398238222179
4 32.89 53  120.7 9.886499212350568e-31
4 32.89 54  120.7 4.279585945442017e-30
4 32.89 55  120.7 1.6042850984578376e-29
4 32.89 56  120.7 4.750730613124139e-30
4 32.89 57  120.7 2.323503967404584e-31
4 32.89 58  120.7 1.2267001501840465e-29
4 32.89 59  120.7 7.418490215848792e-30
4 32.89 60  126.24 0.00024710399948603407
4 32.89 61  126.24 0.00023010111599314968
4 32.89 62  126.24 0.000265376506472074
4 32.89 63  127.75 0.0075263836928444496
4 32.89 64  127.75 0.004606748284729704
4 32.89 65  127.75 0.01372466001825768
4 32.89 66  127.75 0.014270942046162197
4 32.89 67  127.75 0.006835107801266257
4 32.89 68  129.75 2.0130497490210903e-29
4 32.89 69  129.75 1.629107053640588e-30
4 32.89 70  129.75 1.1180094175609138e-30
4 32.89 71  129.75 6.436374142338103e-29
4 32.89 72  129.75 1.1701062428695292e-28
4 32.89 73  129.75 4.916663317169655e-31
4 32.89 74  129.75 2.806886642838795e-28
4 32.89 75  132.35 6.91842505741637e-31
4 32.89 76  132.35 2.200673353667347e-30
4 32.89 77  132.35 1.1405740258671925e-30
4 32.89 78  132.43 1.5729681076058299e-30
4 32.89 79  132.43 3.347681917501981e-30
4 32.89 80  132.43 1.6757408102703212e-29
4 32.89 81  132.43 5.375920430947122e-29
4 32.89 82  132.43 1.013851028670446e-29
4 32.89 83  140.23 4.836822898016052e-30
4 32.89 84  140.23 9.499758469506834e-31
4 32.89 85  140.23 4.153248683853963e-30
4 32.89 86  166.33 1.8443760958100454e-32
4 32.89 87  166.33 4.185383093505739e-32
4 32.89 88  166.33 1.977296593619058e-32
4 32.89 89  166.33 8.909028500748058e-32
4 32.89 90  166.33 2.56450986178357e-32
4 32.89 91  166.33 5.210313612674014e-31
4 32.89 92  166.33 3.990727069757612e-31
4 32.89 93  166.33 9.314990290093221e-31
4 32.89 94  166.33 7.0320531593152465e-31
4 32.89 95  166.57 8.016371316206804e-31
4 32.89 96  166.57 1.5425191746006825e-30
4 32.89 97  166.57 2.6963689988423636e-31
4 32.89 98  166.57 8.747534936857303e-31
4 32.89 99  166.57 9.456033281520676e-32
4 32.89 100  168.03 3.693244703518687e-5
5 67.27 5  0.0 3.699951188215579e-30
5 67.27 6  0.0 8.690250272855947e-30
5 67.27 7  0.0 9.002249692804492e-30
5 67.27 8  2.5 0.0002400049223168636
5 67.27 9  2.5 0.0002753391999212176
5 67.27 10  2.5 0.00019072783975764972
5 67.27 11  2.5 9.391943478308812e-5
5 67.27 12  2.5 0.0002722260114362069
5 67.27 13  24.27 0.03213094936329847
5 67.27 14  24.27 0.09685845162491558
5 67.27 15  24.27 0.050009399240908484
5 67.27 16  24.27 0.0834964713079212
5 67.27 17  24.27 0.05832443401087793
5 67.27 18  26.24 5.244808765044725e-26
5 67.27 19  26.24 5.4263306763048835e-28
5 67.27 20  26.24 1.7415691347654114e-27
5 67.27 21  26.24 6.0950300198437995e-28
5 67.27 22  26.24 6.652949801564495e-28
