4 32.41 28  83.69 1.4103804499167433e-22
4 32.41 29  83.69 1.0007789737824455e-7
4 32.41 30  83.69 1.0345524059320291e-10
4 32.41 31  83.9 1.746329928803508e-22
4 32.41 32  83.9 1.5687017142571986e-7
4 32.41 33  83.9 4.945512616430181e-11
4 32.41 34  88.52 0.028323419029246143
4 32.41 35  88.52 0.0034081452106095858
4 32.41 36  90.47 2.3994869378779818e-18
4 32.41 37  90.47 0.030487622046684065
4 32.41 38  90.47 0.03048789818683904
4 32.41 39  92.18 9.730599852412882e-10
4 32.41 40  92.18 9.974488088887657e-24
4 32.41 41  92.18 3.86268189042217e-11
4 32.41 42  95.57 5.052300073207821e-9
4 32.41 43  95.57 3.449459948529124e-9
4 32.41 44  95.84 8.743676348955847e-23
4 32.41 45  95.84 7.336187340590394e-9
4 32.41 46  95.84 7.90275904341292e-12
4 32.41 47  97.31 0.0016823369754085658
4 32.41 48  103.9 4.7640119541461854e-18
4 32.41 49  103.9 0.028122213647928523
4 32.41 50  103.9 0.028122289741977363
4 32.41 51  105.34 0.047889771318804494
4 32.41 52  105.34 0.0009756157292025605
4 32.41 53  108.49 9.163188153296994e-10
4 32.41 54  108.78 1.1404270982328117e-17
4 32.41 55  108.78 2.0805636511180975e-7
4 32.41 56  108.78 8.019588118709876e-10
4 32.41 57  109.27 3.720811595203099e-7
4 32.41 58  109.27 1.089750435537505e-9
4 32.41 59  109.27 3.1325700617672916e-23
4 32.41 60  110.84 5.494954809264005e-6
4 32.41 61  110.84 5.475055309177999e-6
4 32.41 62  110.84 4.177062252311944e-22
4 32.41 63  111.69 4.3414537146187127e-20
4 32.41 64  111.69 0.0019347871125484663
4 32.41 65  111.69 0.0019346948110352446
4 32.41 66  111.89 2.167244511340384e-12
4 32.41 67  112.08 1.5094627233505966e-9
4 32.41 68  112.08 1.2428594215235814e-22
4 32.41 69  112.08 2.451744072343708e-8
4 32.41 70  118.13 6.793413623676626e-21
4 32.41 71  118.13 0.00032389507786963396
4 32.41 72  118.13 0.00032422557297564087
4 32.41 73  119.03 8.013930668200309e-7
4 32.41 74  119.03 2.6346058566500964e-9
4 32.41 75  119.03 3.3017089818931195e-25
4 32.41 76  120.29 1.276654841841432e-18
4 32.41 77  120.29 0.019592805298680124
4 32.41 78  120.29 0.019593766694827264
4 32.41 79  120.52 6.470568073238418e-6
4 32.41 80  120.52 2.581939154221316e-9
4 32.41 81  120.52 1.1950774470914359e-22
4 32.41 82  120.71 1.0242685694499302e-6
4 32.41 83  121.44 0.0007358246269367223
4 32.41 84  121.45 0.023751269116436102
4 32.41 85  123.25 3.668799732905681e-23
4 32.41 86  123.25 9.018354782509223e-8
4 32.41 87  123.25 1.5661250621256442e-9
4 32.41 88  124.14 1.5752998170494674e-9
4 32.41 89  124.14 8.582380233734049e-10
4 32.41 90  126.62 6.47247507069689e-26
4 32.41 91  126.62 4.225320440702891e-10
4 32.41 92  126.62 2.7722615809767964e-10
4 32.41 93  138.56 1.0318042677096409e-23
4 32.41 94  138.56 2.2524966594554654e-7
4 32.41 95  138.56 2.2487910200984465e-7
4 32.41 96  138.99 2.964373242118372e-6
4 32.41 97  138.99 5.528464162664091e-10
4 32.41 98  139.66 1.8722828923679356e-5
4 32.41 99  139.66 1.8724146053029475e-5
4 32.41 100  139.66 6.776302163678009e-22
5 61.0 5  0.0 8.199426402894261e-12
5 61.0 6  0.0 2.517689830354072e-11
5 61.0 7  0.0 2.4363564286812816e-24
5 61.0 8  6.27 0.0022565376972527914
5 61.0 9  6.27 0.00018348840484291607
5 61.0 10  6.64 1.0947712494774899e-20
5 61.0 11  6.64 1.0367375229176021e-5
5 61.0 12  6.64 1.036369128759275e-5
5 61.0 13  23.95 1.0784730827217953e-16
5 61.0 14  23.95 0.10091057174562588
5 61.0 15  23.95 0.10090756433250442
5 61.0 16  25.54 0.11945774645124556
5 61.0 17  25.54 0.01018170326391449
5 61.0 18  25.95 0.09055807094223123
5 61.0 19  28.98 7.365042128659627e-10
5 61.0 20  28.98 5.524816049766251e-9
5 61.0 21  32.43 0.00032106613698664946
5 61.0 22  32.43 1.6165678931400928e-19
5 61.0 23  32.43 1.65828635367361e-11
5 61.0 24  32.47 2.0073238581973347e-16
5 61.0 25  32.47 0.13568734929182305
5 61.0 26  32.47 0.1353685458794286
5 61.0 27  53.97 5.664450701594516e-9
5 61.0 28  55.11 4.200463762529888e-23
5 61.0 29  55.11 8.716330160595282e-9
5 61.0 30  55.11 5.818333756963893e-9
5 61.0 31  55.32 5.369419505525067e-23
5 61.0 32  55.32 1.204987165643552e-8
5 61.0 33  55.32 8.282276231268138e-13
5 61.0 34  59.94 0.0014135962499190768
5 61.0 35  59.94 0.00017012251127128248
5 61.0 36  61.89 8.809729526628326e-21
5 61.0 37  61.89 6.288971989690074e-6
5 61.0 38  61.89 6.295686403432932e-6
5 61.0 39  63.6 1.0891480606334946e-9
5 61.0 40  63.6 6.757925298627224e-23
5 61.0 41  63.6 3.855913674371764e-13
5 61.0 42  66.99 5.811320851010062e-9
5 61.0 43  66.99 3.3792134420979624e-9
5 61.0 44  67.26 2.0578032877548824e-22
5 61.0 45  67.26 1.1508340207377427e-8
5 61.0 46  67.26 1.3539404594624715e-9
5 61.0 47  68.73 0.011461141981081268
5 61.0 48  75.32 3.205375109682759e-17
5 61.0 49  75.32 0.05253703211005138
5 61.0 50  75.32 0.05253677072968677
5 61.0 51  76.76 0.0718216289911217
5 61.0 52  76.76 0.0014631640549464784
5 61.0 53  79.91 3.16820069541624e-9
5 61.0 54  80.2 1.5223733993522406e-17
5 61.0 55  80.2 2.7773828398538314e-7
5 61.0 56  80.2 2.7534834447762785e-9
5 61.0 57  80.68 4.768585160081657e-7
5 61.0 58  80.68 1.4243244146092717e-9
5 61.0 59  80.68 5.083648780835135e-23
5 61.0 60  82.26 3.573260636065392e-6
5 61.0 61  82.26 3.556111575581067e-6
5 61.0 62  82.26 2.9110215554762236e-21
5 61.0 63  83.11 2.4406016931537913e-18
5 61.0 64  83.11 0.002327360804079101
5 61.0 65  83.11 0.002327183964347626
5 61.0 66  83.3 1.2750259031042856e-12
5 61.0 67  83.5 2.0611756225890282e-9
5 61.0 68  83.5 1.3811753498581413e-22
5 61.0 69  83.5 2.718373596768545e-8
5 61.0 70  89.54 8.90706549805096e-20
5 61.0 71  89.54 8.477961212118753e-5
5 61.0 72  89.54 8.492998306129883e-5
5 61.0 73  90.45 7.398749570844757e-7
5 61.0 74  90.45 1.7824784644473455e-8
5 61.0 75  90.45 9.732954850682661e-23
5 61.0 76  91.71 1.6167299222298505e-17
5 61.0 77  91.71 0.017163865785721915
5 61.0 78  91.71 0.017164818000669622
5 61.0 79  91.93 5.480321182779485e-6
5 61.0 80  91.93 2.4340513483320092e-9
5 61.0 81  91.94 4.3503325701776706e-21
5 61.0 82  92.12 8.018320422872915e-7
5 61.0 83  92.86 0.0005915492609511702
5 61.0 84  92.86 0.019093421525741276
5 61.0 85  94.67 3.5888779522683895e-23
5 61.0 86  94.67 6.916473047991547e-8
5 61.0 87  94.67 7.545016580472807e-10
5 61.0 88  95.55 1.8556166199046406e-9
5 61.0 89  95.55 1.3472193085347456e-9
5 61.0 90  98.04 2.8846234889165364e-24
5 61.0 91  98.04 2.682233507819735e-10
5 61.0 92  98.04 3.7348060080776314e-10
5 61.0 93  109.98 4.602988270309585e-22
5 61.0 94  109.98 4.4869407596038326e-7
5 61.0 95  109.98 4.486838796663389e-7
5 61.0 96  110.4 2.7643129477422965e-6
5 61.0 97  110.4 5.169748725197651e-10
5 61.0 98  111.07 7.673711129443806e-6
5 61.0 99  111.07 7.673735829856657e-6
5 61.0 100  111.07 7.046042466652407e-21
6 61.0 6  0.0 4.80215205425089e-10
6 61.0 7  0.0 8.768091719297627e-10
6 61.0 8  6.27 0.0012588030006561136
6 61.0 9  6.27 0.0011809879972172717
6 61.0 10  6.64 1.0327809566785376e-5
6 61.0 11  6.64 9.102424572852306e-19
6 61.0 12  6.64 1.0375140733372208e-5
6 61.0 13  23.95 0.1009089509915152
6 61.0 14  23.95 1.0777225157835874e-12
6 61.0 15  23.95 0.10090909420471267
6 61.0 16  25.54 0.06765415674338573
6 61.0 17  25.54 0.06192025615775848
6 61.0 18  25.95 0.09062101602849966
6 61.0 19  28.98 2.2092870083957654e-23
6 61.0 20  28.98 1.7322413031277885e-20
6 61.0 21  32.43 0.00033421547273210586
6 61.0 22  32.43 0.00010697079423145416
6 61.0 23  32.43 6.103593522494711e-9
6 61.0 24  32.47 0.13558233986668203
6 61.0 25  32.47 1.0268285090084595e-14
6 61.0 26  32.47 0.13535363483899931
6 61.0 27  53.97 7.110228598494696e-22
6 61.0 28  55.11 5.123366200190172e-8
6 61.0 29  55.11 3.792101431419126e-8
6 61.0 30  55.11 1.0901076257892489e-8
6 61.0 31  55.32 1.7020021567317482e-8
6 61.0 32  55.32 1.0006971710086217e-7
6 61.0 33  55.32 2.7539280776891702e-11
6 61.0 34  59.94 5.630884282744426e-5
6 61.0 35  59.94 0.0015274687129173189
6 61.0 36  61.89 6.328189828889188e-6
6 61.0 37  61.89 6.294580895388342e-6
6 61.0 38  61.89 9.461524198744446e-19
6 61.0 39  63.6 6.104023188319722e-8
6 61.0 40  63.6 7.49151994954267e-8
6 61.0 41  63.6 4.097603515088089e-13
6 61.0 42  66.99 3.6517130818373915e-22
6 61.0 43  66.99 2.4438647813760097e-22
6 61.0 44  67.26 3.303812987239685e-8
6 61.0 45  67.26 8.5979859524879e-9
6 61.0 46  67.26 1.9440369555502914e-8
6 61.0 47  68.73 0.01145996289962421
6 61.0 48  75.32 0.052537723166992165
6 61.0 49  75.32 3.2949811054956357e-15
6 61.0 50  75.32 0.05253718636066042
6 61.0 51  76.76 0.027931473605394382
6 61.0 52  76.76 0.04535386718470474
6 61.0 53  79.91 1.1396165382667602e-23
6 61.0 54  80.2 2.0735415334924275e-8
6 61.0 55  80.2 7.309663001499028e-8
6 61.0 56  80.2 3.237866924418834e-10
6 61.0 57  80.68 2.508662880043071e-8
6 61.0 58  80.68 3.5236955735128305e-10
6 61.0 59  80.68 6.9714771923203625e-9
6 61.0 60  82.26 2.4829629445067517e-19
6 61.0 61  82.26 3.671269496034704e-6
6 61.0 62  82.26 3.605774813433217e-6
6 61.0 63  83.11 0.002327025126761665
6 61.0 64  83.11 1.50185650451303e-16
6 61.0 65  83.11 0.002327166293459052
6 61.0 66  83.3 5.46090673950445e-11
6 61.0 67  83.5 1.5775919667315762e-8
6 61.0 68  83.5 7.703965406340882e-10
6 61.0 69  83.5 2.6765078004876098e-8
6 61.0 70  89.54 8.481328609960129e-5
6 61.0 71  89.54 4.8444385009335336e-18
6 61.0 72  89.54 8.47174643511267e-5
6 61.0 73  90.45 9.423498569621373e-9
6 61.0 74  90.45 1.0167678070016644e-8
6 61.0 75  90.45 1.0080095414827754e-9
6 61.0 76  91.71 0.017161433634790123
6 61.0 77  91.71 1.0782411738617237e-15
6 61.0 78  91.71 0.017165038367223953
6 61.0 79  91.93 1.1517458342055488e-6
6 61.0 80  91.93 3.492322058376725e-9
6 61.0 81  91.94 3.6463162286766325e-6
6 61.0 82  92.12 6.36242128619274e-20
6 61.0 83  92.86 0.011562488156623129
6 61.0 84  92.86 0.008128787777349954
6 61.0 85  94.67 1.3215359296369835e-8
6 61.0 86  94.67 1.837102739062042e-8
6 61.0 87  94.67 1.869917978431008e-9
6 61.0 88  95.55 1.1046308417986402e-22
6 61.0 89  95.55 1.433858928462597e-24
6 61.0 90  98.04 4.268386572457125e-9
6 61.0 91  98.04 1.261145264327714e-9
6 61.0 92  98.04 5.886912419059065e-10
6 61.0 93  109.98 4.470634180277644e-7
6 61.0 94  109.98 4.4845942614043855e-7
6 61.0 95  109.98 2.8473340369533646e-20
