3 32.76 100  143.03 2.7885057021195005e-33
4 32.76 4  0.0 3.7186588591638446e-27
4 32.76 5  33.99 2.4160174894845075e-26
4 32.76 6  33.99 7.904968187906934e-27
4 32.76 7  33.99 1.6544268488840946e-26
4 32.76 8  35.07 0.05800134838801027
4 32.76 9  35.07 0.09246322771580225
4 32.76 10  35.07 0.10555544494759056
4 32.76 11  35.07 0.03677153453989339
4 32.76 12  35.07 0.023440600523990784
4 32.76 13  56.61 0.011384273303649608
4 32.76 14  56.61 0.013097637907474244
4 32.76 15  56.61 0.016349633729212124
4 32.76 16  56.61 0.011968562634351407
4 32.76 17  56.61 0.020786342947167694
4 32.76 18  58.42 0.006722835528355135
4 32.76 19  59.4 3.2284289387149116e-27
4 32.76 20  59.4 1.917603124675101e-27
4 32.76 21  59.4 3.831689788615873e-27
4 32.76 22  59.4 7.204968001274733e-27
4 32.76 23  59.4 6.58021494241152e-27
4 32.76 24  67.21 0.019923352151004152
4 32.76 25  67.21 0.0036067551309616995
4 32.76 26  67.21 0.019847116044884018
4 32.76 27  86.82 3.462662853518597e-27
4 32.76 28  86.82 1.646885343750908e-27
4 32.76 29  86.82 2.2674820315317026e-27
4 32.76 30  86.82 1.9788727766931508e-27
4 32.76 31  86.82 2.095846942908736e-27
4 32.76 32  86.82 1.5944840017516165e-27
4 32.76 33  86.82 5.79726206687298e-28
4 32.76 34  94.96 0.026599122161094817
4 32.76 35  94.96 0.040763614775912
4 32.76 36  94.96 0.006688883383866181
4 32.76 37  94.96 0.03091649264974899
4 32.76 38  94.96 0.033386627134475745
4 32.76 39  97.05 4.9399105511417104e-29
4 32.76 40  97.05 3.900846977880751e-29
4 32.76 41  97.05 7.171712376889179e-29
4 32.76 42  100.27 0.0014966876820480574
4 32.76 43  102.0 2.636335559762261e-28
4 32.76 44  102.0 9.822922152055224e-28
4 32.76 45  102.0 5.554502695799278e-28
4 32.76 46  102.0 5.403960999048857e-28
4 32.76 47  102.0 5.219496539232286e-28
4 32.76 48  107.76 0.011233992402547301
4 32.76 49  107.76 0.030544079161803767
4 32.76 50  107.76 0.012099490005198789
4 32.76 51  107.76 0.011159095007485161
4 32.76 52  107.76 0.014298530388921066
4 32.76 53  113.05 3.5396568504987066e-28
4 32.76 54  113.05 2.837712847025192e-28
4 32.76 55  113.05 4.573629704772462e-28
4 32.76 56  113.05 7.217594606043025e-28
4 32.76 57  113.05 4.939646919947843e-28
4 32.76 58  113.05 2.9470777121429156e-28
4 32.76 59  113.05 4.203978927697887e-28
