7 3.77 19  3.48 0.009952666144012067
7 3.77 20  40.8 0.001175225271654005
7 3.77 21  40.8 0.0008623387345617468
7 3.77 22  40.8 0.0028986889283023932
7 3.77 23  40.8 0.0017716767779061692
7 3.77 24  40.8 0.0026310017068265435
7 3.77 25  40.8 0.0010869060020784163
7 3.77 26  40.8 0.000989400244060655
7 3.77 27  40.8 0.001098627868500228
7 3.77 28  40.8 0.0013032420968280443
7 3.77 29  40.8 0.001202055977056829
7 3.77 30  40.8 0.0012087168541278998
7 3.77 31  40.8 0.0013982680913935846
7 3.77 32  40.8 0.0014824154213878052
7 3.77 33  40.8 0.0013237639576795072
7 3.77 34  40.8 0.0013055723091191548
7 3.77 35  40.8 0.001818465035648079
7 3.77 36  40.8 0.0013831521427497594
7 3.77 37  40.8 0.0014914492617552014
7 3.77 38  40.8 0.0015469106494897813
7 3.77 39  40.8 0.0014737880727433914
7 3.77 40  40.8 0.0016157967790443382
7 3.77 41  40.8 0.001524323815279699
7 3.77 42  40.8 0.0015182999683333227
7 3.77 43  40.8 0.0017054488997805275
7 3.77 44  40.8 0.0019641607445459418
7 3.77 45  40.8 0.0020152241437644126
7 3.77 46  40.8 0.001830433772255871
7 3.77 47  40.8 0.0020571608439779467
7 3.77 48  40.8 0.0031019390968974802
7 3.77 49  40.8 0.000415488926837384
7 3.77 50  40.8 0.0011603617720791677
7 3.77 51  40.8 0.0009453749574576273
7 3.77 52  40.8 0.0008119635968423151
7 3.77 53  40.8 0.0005874761157223481
7 3.77 54  40.8 0.0009051670684947546
7 3.77 55  40.8 0.00131763896680804
7 3.77 56  40.8 0.000689613131587259
7 3.77 57  40.8 0.0011198603438454346
7 3.77 58  47.42 0.0032343235728101594
7 3.77 59  47.42 0.0025557141084328163
7 3.77 60  47.42 0.008034858333114684
7 3.77 61  47.42 0.0008079514469811593
7 3.77 62  47.42 0.0034890234423457026
8 3.77 8  0.0 0.018577209489681404
8 3.77 9  0.0 0.006449028978851969
8 3.77 10  0.0 0.020482544819173852
8 3.77 11  0.0 0.04817761841021943
8 3.77 12  0.0 0.011678433172045484
8 3.77 13  0.0 0.010775470211724387
8 3.77 14  0.0 0.022019263089581312
8 3.77 15  3.48 0.011799790581241008
8 3.77 16  3.48 0.030092670631805596
8 3.77 17  3.48 0.024046456036535158
8 3.77 18  3.48 0.027613066457822296
8 3.77 19  3.48 0.00265305269737557
8 3.77 20  40.8 0.003825625057189469
8 3.77 21  40.8 0.0005595405486294582
8 3.77 22  40.8 0.0012995103252936072
8 3.77 23  40.8 0.000754770632336615
8 3.77 24  40.8 0.0020964259749143327
8 3.77 25  40.8 0.001225065624819418
8 3.77 26  40.8 0.0016563279589428058
8 3.77 27  40.8 0.0016296661983110823
8 3.77 28  40.8 0.001225019802682961
8 3.77 29  40.8 0.00122720960130839
8 3.77 30  40.8 0.0012305529973246593
8 3.77 31  40.8 0.001438349728734549
8 3.77 32  40.8 0.0012359187914605498
8 3.77 33  40.8 0.0012275588673575524
8 3.77 34  40.8 0.0016980321219971489
8 3.77 35  40.8 0.001483856820460107
8 3.77 36  40.8 0.0013105099650269044
8 3.77 37  40.8 0.0014199874120646079
8 3.77 38  40.8 0.0014635068804437976
8 3.77 39  40.8 0.0013925175814714918
8 3.77 40  40.8 0.0014676703288932667
8 3.77 41  40.8 0.001085870707203447
8 3.77 42  40.8 0.0014898412782718411
8 3.77 43  40.8 0.0013680467921230554
8 3.77 44  40.8 0.0022723225240473184
8 3.77 45  40.8 0.0022087615275297686
8 3.77 46  40.8 0.0019278073843605485
8 3.77 47  40.8 0.0031363754577951692
8 3.77 48  40.8 0.0019769427033276108
8 3.77 49  40.8 0.0012256634455748315
8 3.77 50  40.8 0.001317031691460055
8 3.77 51  40.8 0.0017525001926845516
8 3.77 52  40.8 0.0006432046059932234
8 3.77 53  40.8 0.0013901659495275521
8 3.77 54  40.8 0.0028120760795111734
8 3.77 55  40.8 0.0004153374039717344
8 3.77 56  40.8 0.0019374998731138788
8 3.77 57  40.8 0.0030586572145180984
8 3.77 58  47.42 0.007214045264624806
8 3.77 59  47.42 0.0018247955048053448
8 3.77 60  47.42 0.0025820292439098797
8 3.77 61  47.42 0.0033939718356529734
8 3.77 62  47.42 0.012552954107511336
9 3.77 9  0.0 0.0047837874939276335
9 3.77 10  0.0 0.015662993945249896
9 3.77 11  0.0 0.11221683957439316
9 3.77 12  0.0 0.03402276857458179
9 3.77 13  0.0 0.01594687084234444
9 3.77 14  0.0 0.021561987115445498
9 3.77 15  3.48 0.021789072698342477
9 3.77 16  3.48 0.021828064787050534
9 3.77 17  3.48 0.050206651850356394
9 3.77 18  3.48 0.038245998727438016
9 3.77 19  3.48 0.007333513652922825
9 3.77 20  40.8 0.0014812173723406964
9 3.77 21  40.8 0.0009841253155842195
9 3.77 22  40.8 0.0011700423269432967
9 3.77 23  40.8 0.0012263535417271492
9 3.77 24  40.8 0.0015493597253090927
9 3.77 25  40.8 0.002982731532945119
9 3.77 26  40.8 0.001757685779776393
9 3.77 27  40.8 0.002904583249677509
9 3.77 28  40.8 0.002119724327719609
9 3.77 29  40.8 0.002160880335889633
9 3.77 30  40.8 0.002144259849061049
9 3.77 31  40.8 0.0024307730443890105
9 3.77 32  40.8 0.0019569764897749203
9 3.77 33  40.8 0.0022256126358199905
