6 67.43 53  84.93 2.9859986892807547e-5
6 67.43 54  85.38 0.0003414427139951665
6 67.43 55  86.95 0.0030117258205241385
6 67.43 56  87.06 0.00011026453377381767
6 67.43 57  88.37 0.0001505363963800764
6 67.43 58  88.56 0.00044123490793819775
6 67.43 59  88.96 0.000134032024191068
6 67.43 60  89.55 0.0017073577028305553
6 67.43 61  90.61 0.0022685828956842164
6 67.43 62  90.69 0.000935040716702668
6 67.43 63  91.74 0.0002863699980133757
6 67.43 64  92.3 8.412883500609408e-6
6 67.43 65  93.94 0.002547255744809537
6 67.43 66  95.48 0.00013066785722301114
6 67.43 67  95.53 2.8136412599773107e-5
6 67.43 68  95.82 0.0002974074955655745
6 67.43 69  96.16 6.741616463621941e-6
6 67.43 70  96.31 1.237927108427872e-5
6 67.43 71  96.53 2.0802407070093462e-5
6 67.43 72  96.68 0.0015805339791958297
6 67.43 73  96.74 1.946813973250704e-5
6 67.43 74  97.08 0.004695022254752561
6 67.43 75  97.89 0.0002411730267492647
6 67.43 76  98.01 1.1020516310130703e-6
6 67.43 77  98.07 6.453599348976782e-5
6 67.43 78  98.21 6.173892434256486e-5
6 67.43 79  98.42 0.00018223366482721063
6 67.43 80  98.47 2.7854677635652546e-6
6 67.43 81  98.62 4.2215777843491937e-5
6 67.43 82  98.69 6.539551456490947e-6
6 67.43 83  101.83 4.59779839847799e-5
6 67.43 84  102.72 4.964884457509238e-5
6 67.43 85  103.07 4.212659699795949e-5
6 67.43 86  131.22 0.0002254219102289213
6 67.43 87  131.92 0.00033116740812594785
6 67.43 88  131.92 0.00013647646141901694
6 67.43 89  131.92 0.0003377192685082277
6 67.43 90  131.92 0.0002597540005265951
6 67.43 91  131.92 0.000689628646447132
6 67.43 92  131.92 0.00017774452414745252
6 67.43 93  131.92 0.000290473551597113
6 67.43 94  132.01 4.643422454636312e-5
6 67.43 95  132.03 0.0003260822049192692
6 67.43 96  132.13 0.0001456943750830649
6 67.43 97  132.48 0.0003308884034467147
6 67.43 98  132.88 0.00032662455417865877
6 67.43 99  132.88 0.0002226876180480925
6 67.43 100  133.4 2.9827319338285718e-5
7 67.57 7  0.0 3.5133011874126316e-7
7 67.57 8  0.92 0.007158209343390091
7 67.57 9  1.39 0.044370533747764576
7 67.57 10  2.18 0.052994907709236795
7 67.57 11  3.41 0.006289983039024651
7 67.57 12  3.66 0.02151728611342286
7 67.57 13  21.9 0.004982541674110576
7 67.57 14  22.39 0.003900733140359288
7 67.57 15  22.9 0.08962243395280182
7 67.57 16  23.47 0.06779265992598617
7 67.57 17  23.48 0.13558173852180477
7 67.57 18  24.71 0.002519134799242121
7 67.57 19  24.74 0.0012749636172576394
7 67.57 20  26.14 0.011247194071599412
7 67.57 21  26.41 0.06140400313322028
7 67.57 22  29.65 0.004805542212672639
7 67.57 23  30.32 0.006569793162040547
7 67.57 24  32.72 0.0003484271688786943
7 67.57 25  33.93 0.12333624036710754
7 67.57 26  33.94 0.11406969185138185
7 67.57 27  62.37 0.0002828905385308202
7 67.57 28  62.39 0.00011853282678470958
7 67.57 29  62.7 9.673222372682375e-5
7 67.57 30  62.85 0.00028154110228080585
7 67.57 31  63.25 0.0001356230721305184
7 67.57 32  63.8 0.00019511892555106362
7 67.57 33  64.08 0.0034894595195651473
7 67.57 34  64.24 0.005984352195581355
7 67.57 35  64.34 7.787195673009033e-5
7 67.57 36  64.98 0.0005240483556913729
7 67.57 37  65.05 4.594565842829344e-5
7 67.57 38  66.06 0.005336784932390222
7 67.57 39  66.22 0.0007024197354589176
7 67.57 40  67.2 3.41967656197295e-5
7 67.57 41  67.26 0.00016860021717034573
7 67.57 42  67.28 0.0036052638992599894
7 67.57 43  67.55 0.0025882917066300973
7 67.57 44  70.28 0.002679443578989459
7 67.57 45  70.98 0.0009327363702091724
7 67.57 46  71.41 7.557854245922615e-5
7 67.57 47  72.02 0.005540732584987478
7 67.57 48  74.51 0.019470320087725812
7 67.57 49  74.94 0.017233648082708428
7 67.57 50  76.08 0.016047251461013927
7 67.57 51  77.28 0.0029568746422245517
7 67.57 52  77.92 0.010046199650208134
7 67.57 53  84.79 7.591695315042986e-5
7 67.57 54  85.25 0.0005329897244352598
